locus_tag	LC	6H	12H	1D	2D	3D	5D	7D	14D	1M	2M
B4U62_00005	-2.152111186	0.95195205	0	0.079114856	0.287307491	0.062163921	0.029931844	-0.476181596	-1.967067973	-1.588992468	-3.204446604
B4U62_00010	0	1.43508268	0.252281053	0.388350799	0.326264477	0.218484508	-0.139227068	-0.468869028	-1.268171002	-0.967405137	-3.084078049
B4U62_00015	-1.891621615	1.545791585	0.759196402	0.899703214	0.545909422	-0.042535815	0.310043424	0	-0.718971433	-1.048696735	-2.869297519
B4U62_00020	1.373780483	0.55557765	-0.239618109	-0.076171611	0	-0.162417199	0.180801484	0.237377404	0.484622064	-0.232578423	-2.120892327
B4U62_00025	1.683959374	0.444517762	-0.378381183	0.0615084	0.074934739	0	0.410711639	-0.021822143	-1.108581041	-0.240338553	-2.945246647
B4U62_00030	2.04292729	0.49375472	0	-0.174236601	-0.012154052	-0.158158377	0.135391828	0.23200123	0.039717399	-0.451344025	-2.34714529
B4U62_00035	1.20421795	0.58299513	0	0.141646286	0.043419645	-0.349333389	0.027140116	-0.126758589	-0.91687235	-0.916474149	-2.484726174
B4U62_00065	0.047318323	-0.83242621	-2.142736258	-0.939794665	-0.054020228	1.423397724	0.891127218	0.783947953	0.571563285	0	-0.34463332
B4U62_00070	2.552896588	0.585253125	0.741343894	0	-0.081990439	-0.267007326	-0.470044306	0.17623917	0.060165134	-0.84266186	-3.307152283
B4U62_00075	-0.512921125	2.066213474	0.867621175	1.073308526	0.665384973	0	0.115246343	-0.307017507	-1.563494341	-1.084801954	-2.603921057
B4U62_00080	-1.589056948	1.974085038	1.004167534	1.304091294	0.658029502	0	0.124842063	-0.304530598	-0.789437241	-1.041190731	-3.271587359
B4U62_00085	-0.851969961	2.194078665	1.381930274	1.474556639	0.686495926	0	0.132612015	-0.322376304	-1.241681433	-1.075409131	-3.233368051
B4U62_00090	1.964008107	1.854704258	1.625897111	0.905492095	0.346223568	-0.011674439	0	-0.162819608	-1.151729707	-1.171197984	-2.501734506
B4U62_00100	-2.816632714	1.132826005	0.03257237	0.611527352	0.262604875	0	0.429549988	-0.189847692	-2.205631634	-1.420263328	-3.351135336
B4U62_00105	-3.489890129	0.878620404	0.078312503	0.534678642	0.134626716	-0.133897551	0.33252907	0	-1.84075392	-1.4691874	-3.618525837
B4U62_00110	-1.24428248	-5.213417948	-4.8285292	-5.46209534	0.476750173	1.946338678	2.015943203	1.946477615	1.899079965	0	-1.950275283
B4U62_00115	-0.341709789	-3.256642429	-3.296843287	-4.191024132	-0.675511005	0.450461328	0	0.006840333	0.218435432	0.441061836	0.047444126
B4U62_00120	-2.097805608	0.656387481	-0.388019866	-0.010556473	0.288868556	0.086704415	0.082164312	0	0.118310045	-1.035195825	-3.069302699
B4U62_00130	-1.03844079	0.660443268	-0.144286975	0	0.004924823	0.13144949	0.217896686	-0.022997631	0.096772256	-0.873759679	-2.985487309
B4U62_00135	-0.543503026	0.721355465	0.191938315	0.498750665	0.481958572	0.167492386	0	-0.413414091	-3.1124591	-1.689305053	-4.082876096
B4U62_00140	-0.514819097	0.911638205	0	-0.112373543	0.306726101	0.604314993	0.739827881	0.32371923	-0.067052059	-0.987077577	-2.53389488
B4U62_00145	-0.472849272	0.874411134	-0.244876253	0	0.28505216	0.704772245	0.902372632	0.085686264	-1.294618928	-1.316837358	-2.417039017
B4U62_00150	-1.341524263	0.400872702	-0.730156658	-0.333710984	1.885415982	2.570484858	2.135940714	1.970562402	0	-0.517377832	-2.660298193
B4U62_00180	0	0.614604734	-1.526200717	-0.4928263	1.747119562	2.537751999	2.348060156	1.901410859	-3.018566723	-1.283468669	-1.062984299
B4U62_00185	1.174339004	-0.225168175	-0.51680522	0.115757176	0.347617067	0.408646544	0	0.24358687	-1.516898451	-1.113006306	-1.681864235
B4U62_00190	1.645733999	0	-0.036125708	-0.161287776	0.406460244	0.493066764	0.291570757	0.528910388	-1.603413507	-0.665686287	-1.673366176
B4U62_00195	1.126316743	0.519141298	-0.244936182	0.215702535	0.190528349	0.06908377	-0.049086975	0	-0.240537782	-0.565767933	-1.838123334
B4U62_00200	0.159865061	-0.263302626	-0.977589193	-0.913910184	-0.151775401	0	0.154247926	0.082614944	0.125085089	0.545126525	-0.15230966
B4U62_00205	-1.103739341	0.104587108	-0.317356787	-0.584924388	0.147408072	0.109855964	0.214781147	0.124714222	-0.275055408	0	-0.591051767
B4U62_00210	0.489953584	-0.057318577	0.006324537	-0.630086461	0.082344981	0.048864753	0	0.021679253	-1.657720444	-0.314939813	-0.874777407
B4U62_00215	-0.766756007	0.364846146	0	-0.085550259	0.183389237	0.115909432	-0.004688068	0.057156706	-0.039960917	0.225825787	-1.031333119
